Model,Mean_score,Std_score,Mean_runtime,Std_runtime
CNN,121.67801909335185,0.0,453.9525697231293,0.0
EEGNet,124.69296740088377,0.0,1685.6243133544922,0.0
InceptionTime,127.85180642784249,0.0,823.3169798851013,0.0
PyramidalCNN,121.50940513529528,0.0,334.2445607185364,0.0
Xception,132.5896817345398,0.0,573.8005409240723,0.0
