Model,Score,Runtime
Median,191.57448857430856,0.0023593902587890625
ElasticNet,181.66163744223493,2.4377450942993164
RandomForest,180.43616150402966,377.3413670063019
Mean,191.61806854648103,0.001577615737915039
Constant,191.70188942640178,0.0010781288146972656
Lasso,181.59665590518404,1.2051632404327393
AdaBoost,183.90538634414477,118.06291007995605
RBF SVR,191.11887302175228,12.817590236663818
KNN,184.4373713030433,0.7247457504272461
XGBoost,183.46303051828633,47.089457511901855
GradientBoost,182.021981429915,841.4629838466644
LinearReg,182.15216570004978,0.3753502368927002
Ridge,181.81462206440438,0.2257072925567627
