Model,Mean_score,Std_score,Mean_runtime,Std_runtime
Median,191.57448857430856,0.0,0.0023593902587890625,0.0
ElasticNet,181.66163744223493,0.0,2.4377450942993164,0.0
RandomForest,180.43616150402966,0.0,377.3413670063019,0.0
Mean,191.61806854648103,0.0,0.001577615737915039,0.0
Constant,191.70188942640178,0.0,0.0010781288146972656,0.0
Lasso,181.59665590518404,0.0,1.2051632404327393,0.0
AdaBoost,183.90538634414477,0.0,118.06291007995605,0.0
RBF SVR,191.11887302175228,0.0,12.817590236663818,0.0
KNN,184.4373713030433,0.0,0.7247457504272461,0.0
XGBoost,183.46303051828633,0.0,47.089457511901855,0.0
GradientBoost,182.021981429915,0.0,841.4629838466644,0.0
LinearReg,182.15216570004978,0.0,0.3753502368927002,0.0
Ridge,181.81462206440438,0.0,0.2257072925567627,0.0
